time,open,high,low,close,volume
1785561600,63093.14,63100.01,63074.41,63100.01,45.29764
1785561900,63100,63105.01,63087.18,63105,24.46051
1785562200,63105,63105.01,63092.51,63092.99,42.5941
1785562500,63093,63096.3,63025.84,63025.84,52.70149
1785562800,63025.84,63025.85,63014.76,63016.58,21.45487
1785563100,63016.58,63016.58,63002,63002,9.22411
1785563400,63002,63029.54,63000.85,63029.54,9.04493
1785563700,63029.54,63038,63019.99,63020,95.76956
1785564000,63020,63040.1,63000.01,63000.01,120.14575
1785564300,63000,63015.86,62992.82,62993,43.57448
1785564600,62993,63027.88,62992.99,63027.88,7.7512
1785564900,63027.87,63030,63007.8,63027.23,16.13079
1785565200,63027.23,63068,63027.22,63068,8.59209
1785565500,63068,63075.1,63059.93,63060,23.4991
1785565800,63059.99,63076.93,63059.99,63076.93,76.33858
1785566100,63076.92,63076.92,63072,63072.01,5.96964
1785566400,63072,63072.01,63061.99,63062,25.62211
1785566700,63061.99,63074.86,63057.44,63073.3,22.48123
1785567000,63073.3,63086.65,63073.29,63082,76.69467
1785567300,63081.99,63082,63080.63,63080.64,8.07513
1785567600,63080.65,63083.41,63080.64,63083.4,13.77433
1785567900,63083.4,63083.74,63083.4,63083.73,4.03123
1785568200,63083.74,63110.89,63083.73,63110.88,12.14614
1785568500,63110.88,63110.89,63072,63072.01,17.47724
1785568800,63072,63080.4,63072,63080.39,8.47228
1785569100,63080.39,63080.4,63069.74,63069.75,7.3268
1785569400,63069.74,63069.75,63034,63041.29,31.66554
1785569700,63041.29,63046,63041.28,63046,13.85466
1785570000,63046,63052,63041.28,63046,10.19285
1785570300,63046,63049.93,63046,63049.93,9.70417
1785570600,63049.92,63053.87,63049.92,63053.87,8.92377
1785570900,63053.86,63056.77,63049.88,63050.46,13.12272
1785571200,63050.45,63082,63050.45,63082,17.91588
1785571500,63082,63084,63081.99,63084,2.08187
1785571800,63083.99,63100.01,63083.99,63100.01,10.67662
1785572100,63100.01,63102.51,63100,63102.5,9.44293
1785572400,63102.5,63102.51,63102.5,63102.5,4.09353
1785572700,63102.51,63102.51,63092,63092.01,6.39629
1785573000,63092.01,63106,63092,63106,6.29831
1785573300,63106,63109.04,63102.5,63102.51,10.42107
1785573600,63102.5,63102.51,63102.5,63102.51,5.19615
1785573900,63102.51,63109.68,63091.33,63109.68,10.71374
1785574200,63109.68,63136,63109.67,63136,4.85736
1785574500,63135.99,63150,63126.24,63126.25,17.93442
1785574800,63126.25,63139.54,63110,63133.23,30.18515
1785575100,63133.22,63133.23,63119.3,63119.31,18.33686
1785575400,63119.31,63130.68,63112.07,63112.08,11.22473
1785575700,63112.08,63123.8,63100,63114.7,32.61736
1785576000,63114.69,63125.48,63108.01,63108.01,24.93113
1785576300,63108.01,63115.19,63100,63112.94,9.25243
